0-10,20-oct,20-30,30-40,40-50,50-60,60-70,70-80,80-90,90-100,Toxics commits avarage,Number of authors with toxic commits,Number of authors with toxic commits > 50%,Total commits,Total commits per day,Accumulated commits,Committers,suma,Committers Weight,classes,ncloc,functions,duplicated_lines,test_errors,skipped_tests,coverage,complexity,comment_lines,comment_lines_density,duplicated_lines_density,files,directories,file_complexity,violations,duplicated_blocks,duplicated_files,lines,public_api,statements,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,lines_to_cover,line_coverage,conditions_to_cover,branch_coverage,sqale_index,sqale_rating,false_positive_issues,open_issues,reopened_issues,confirmed_issues,sqale_debt_ratio,new_sqale_debt_ratio,code_smells,new_code_smells,bugs,effort_to_reach_maintainability_rating_a,reliability_remediation_effort,reliability_rating,security_remediation_effort,security_rating,cognitive_complexity,new_development_cost,security_hotspots,security_review_rating,%Toxicos
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4847,0,4847,0,1114,164078,10530,5960,0,0,2.1,18505,15088,8.4,2.5,1689,0,12.6,4331,244,127,242817,0,39312,42,247,2687,1295,60,46475,1.7,6418,4.8,25705,1,7,4331,0,0,0.5,0.079373442,2980,0,1299,0,4244,3,1290,5,11356,284730,22,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4847,0,4847,0,1114,164078,10530,5960,0,0,2.1,18505,15088,8.4,2.5,1689,0,12.6,4331,244,127,242817,0,39312,42,247,2687,1295,60,46475,1.7,6418,4.8,25705,1,7,4331,0,0,0.5,0.079373442,2980,0,1299,0,4244,3,1290,5,11356,284730,22,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4847,0,4847,0,1114,164074,10530,5960,0,0,2.1,18505,15088,8.4,2.5,1689,0,12.6,4331,244,127,242812,0,39309,42,247,2687,1295,60,46473,1.7,6418,4.8,25705,1,7,4331,0,0,0.5,0.079406908,2980,0,1299,0,4244,3,1290,5,11355,284610,22,5,1
1,0,0,0,0,0,0,0,0,1,0.4679524,1,1,2,0.5,4847,1,4851.5,100,1114,164077,10531,5960,0,0,2.1,18506,15088,8.4,2.5,1689,0,12.6,4331,244,127,242816,0,39310,42,247,2687,1295,60,46474,1.7,6418,4.8,25705,1,7,4331,0,0,0.5,0.079432026,2980,0,1299,0,4244,3,1290,5,11355,284520,22,5,2
1,0,1,0,0,1,0,0,1,2,0.548648715,4,4,6,1.5,4845,5,4861.5,18.51851852,1113,163996,10525,5960,0,0,2.1,18494,15085,8.4,2.5,1688,0,12.6,4331,244,127,242698,0,39269,42,247,2687,1295,60,46451,1.7,6418,4.8,25703,1,7,4331,0,0,0.5,0.079483358,2980,0,1299,0,4244,3,1290,5,11346,281820,22,5,2
0,1,0,0,0,0,0,0,2,0,0.552412947,2,2,3,0.428571429,4839,3,4847.428571,33.33333333,1113,163990,10525,5960,0,0,2.1,18494,15085,8.4,2.5,1688,0,12.6,4331,244,127,242688,0,39269,42,247,2687,1295,60,46451,1.7,6418,4.8,25703,1,7,4331,0,0,0.5,0.079551104,2980,0,1299,0,4244,3,1290,5,11346,281580,22,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4836,0,4836,0,1113,163990,10525,5960,0,0,2.1,18494,15085,8.4,2.5,1688,0,12.6,4331,244,127,242688,0,39269,42,247,2687,1295,60,46451,1.7,6418,4.8,25703,1,7,4331,0,0,0.5,0.079551104,2980,0,1299,0,4244,3,1290,5,11346,281580,22,5,1
0,0,0,0,0,0,0,0,0,1,0.994633079,1,1,1,0.142857143,4836,1,4839.142857,100,1113,163990,10525,5960,0,0,2.1,18494,15085,8.4,2.5,1688,0,12.6,4331,244,127,242688,0,39269,42,247,2687,1295,60,46451,1.7,6418,4.8,25703,1,7,4331,0,0,0.5,0.079551104,2980,0,1299,0,4244,3,1290,5,11346,281580,22,5,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4835,0,4835,0,1113,163990,10525,5960,0,0,2.1,18494,15085,8.4,2.5,1688,0,12.6,4331,244,127,242688,0,39269,42,247,2687,1295,60,46451,1.7,6418,4.8,25703,1,7,4331,0,0,0.5,0.079551104,2980,0,1299,0,4244,3,1290,5,11346,281580,22,5,1
0,0,0,0,0,1,0,0,0,1,0.742251635,2,2,2,0.5,4835,2,4841.5,50,1113,163990,10525,5960,0,0,2.1,18494,15085,8.4,2.5,1688,0,12.6,4331,244,127,242688,0,39269,42,247,2687,1295,60,46451,1.7,6418,4.8,25703,1,7,4331,0,0,0.5,0.079551104,2980,0,1299,0,4244,3,1290,5,11346,281580,22,5,3
